SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
368586,1,Cash loans,F,N,Y,0,180000,835380,23571,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-15882,-1891,-6094,-126,1,1,0,1,0,0,Sales staff,2,2,2,TUESDAY,17,0,0,0,0,0,0,Business Entity Type 3,0,0,0,0,-1709,0,0,0,0,0,4
429824,0,Cash loans,F,Y,Y,1,180000,348264,23274,315000,Unaccompanied,Working,Higher education,Separated,House / apartment,0.020246,-9194,-2403,-6387,-1669,1,1,0,1,0,0,Security staff,2,3,3,THURSDAY,8,0,0,0,0,0,0,Business Entity Type 1,1,0,1,0,-927,0,0,0,0,0,1
355429,1,Cash loans,F,N,N,0,135000,254700,16713,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.007274,-12192,-734,-5096,-3878,1,1,1,1,0,0,Core staff,2,2,2,MONDAY,11,0,1,1,0,1,1,Legal Services,0,0,0,0,-1065,0,0,0,0,0,3
145471,1,Cash loans,M,N,Y,1,135000,229500,27364.5,229500,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,Rented apartment,0.018209,-12322,-604,-67,-4108,1,1,0,1,0,1,Laborers,2,3,3,TUESDAY,11,0,0,0,1,1,0,University,0,0,0,0,-2132,0,0,0,0,1,4
405223,1,Revolving loans,M,Y,Y,1,337500,810000,40500,810000,Unaccompanied,Working,Higher education,Married,House / apartment,0.04622,-14552,-259,-1846,-4805,1,1,0,1,1,0,Security staff,3,1,1,TUESDAY,10,0,0,0,0,0,0,Government,0,0,0,0,-649,0,0,0,0,0,0
169647,1,Cash loans,M,N,N,2,157500,445333.5,52848,423000,Unaccompanied,Working,Higher education,Married,House / apartment,0.035792,-9634,-747,-3747,-2312,1,1,0,1,1,0,Laborers,4,2,2,THURSDAY,11,0,0,0,0,1,1,Business Entity Type 3,0,0,0,0,0,0,0,0,0,0,2
323241,1,Cash loans,M,Y,Y,0,112500,254700,27558,225000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.019101,-10780,-115,-9531,-3403,1,1,0,1,0,0,Laborers,1,2,2,FRIDAY,13,0,0,0,1,1,1,Business Entity Type 2,0,0,0,0,0,0,0,0,0,0,4
238497,0,Cash loans,F,N,Y,2,292500,370629,18157.5,306000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.04622,-10949,-1013,-5077,-3360,1,1,0,1,1,0,Sales staff,4,1,1,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,1,0,1,0,-299,0,0,0,0,0,0
281983,1,Cash loans,M,Y,N,1,180000,348264,23404.5,315000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.014464,-10606,-268,-972,-3234,1,1,1,1,0,0,Drivers,2,2,2,SUNDAY,11,0,0,0,0,0,0,Self-employed,0,0,0,0,-2632,0,0,0,0,0,0
117751,1,Cash loans,F,N,Y,2,180000,497520,33376.5,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.04622,-10151,-1994,-4894,-2786,1,1,0,1,0,0,Sales staff,4,1,1,THURSDAY,18,0,0,0,0,0,0,Business Entity Type 3,0,0,0,0,-89,0,0,0,1,0,1
