SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
386669,0,Cash loans,F,Y,Y,1,202500,640080,31261.5,450000,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.010006,-11695,-2730,-3643,-4363,1,1,0,1,0,0,Sales staff,2,2,2,FRIDAY,16,0,0,0,0,1,1,Business Entity Type 1,2,0,2,0,-1558,0,0,0,0,0,2
414900,0,Cash loans,M,Y,N,0,202500,9e+05,31887,9e+05,Family,Working,Secondary / secondary special,Married,House / apartment,0.018029,-15894,-2476,-943,-4865,1,1,1,1,0,0,Drivers,2,3,3,WEDNESDAY,13,0,0,0,0,0,0,Industry,0,0,0,0,-762,0,0,0,0,0,4
202989,0,Cash loans,M,N,N,2,157500,691020,26905.5,495000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.032561,-14434,-1335,-7205,-4496,1,1,0,1,0,0,Laborers,4,1,1,WEDNESDAY,14,0,0,0,0,0,0,Business Entity Type 1,1,0,1,0,-2490,0,0,0,0,0,4
341007,0,Cash loans,M,N,Y,1,202500,592560,28638,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-14647,-7484,-2754,-4146,1,1,0,1,1,0,Laborers,3,3,3,FRIDAY,10,0,0,0,0,0,0,Industry,0,0,0,0,-1546,0,0,0,0,0,1
247379,0,Revolving loans,F,N,Y,0,94500,180000,9000,180000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.008068,-12287,-3710,-2948,-2948,1,1,0,1,0,0,Medicine staff,2,3,3,THURSDAY,11,0,0,0,0,0,0,Medicine,0,0,0,0,-303,2,2,0,0,0,0
215050,0,Cash loans,M,Y,N,2,112500,9e+05,26316,9e+05,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-15065,-3998,-3343,-4308,1,1,0,1,0,0,Laborers,4,2,2,THURSDAY,9,0,0,0,0,1,1,Business Entity Type 2,3,0,3,0,-1031,0,0,0,0,1,2
414714,0,Cash loans,F,N,Y,1,54000,342000,16074,342000,Unaccompanied,Working,Higher education,Married,House / apartment,0.009657,-15973,-2207,-4190,-3904,1,1,1,1,1,0,Accountants,3,2,2,SUNDAY,13,0,0,0,0,0,0,Bank,2,0,2,0,-2512,0,0,0,0,0,2
161428,0,Cash loans,M,Y,Y,2,360000,545040,25537.5,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.072508,-9822,-326,-4502,-2489,1,1,0,1,1,0,Drivers,4,1,1,SATURDAY,14,0,0,0,0,0,0,Government,7,0,7,0,-1180,0,0,0,1,0,3
374952,0,Cash loans,M,Y,N,2,135000,614223,31491,549000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.019101,-13783,-331,-4522,-4620,1,1,0,1,0,0,Low-skill Laborers,4,2,2,THURSDAY,10,0,0,0,0,0,0,Industry,0,0,0,0,0,0,0,0,0,0,1
166951,0,Cash loans,M,Y,Y,0,225000,497520,39438,450000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,With parents,0.010643,-13480,-2705,-7568,-4321,1,1,0,1,0,0,Managers,2,2,2,THURSDAY,10,0,0,0,0,0,0,Self-employed,0,0,0,0,-359,0,0,0,0,0,1
367796,0,Cash loans,F,N,Y,0,112500,225000,6187.5,225000,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.007114,-7717,-175,-7717,-379,1,1,1,1,1,0,Sales staff,1,2,2,THURSDAY,15,0,0,0,0,0,0,Trade,6,0,6,0,-548,0,0,0,0,0,1
309864,0,Cash loans,M,N,Y,3,135000,553806,26770.5,495000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.01885,-12696,-1254,-4512,-4558,1,1,1,1,1,0,Drivers,5,2,2,FRIDAY,10,0,0,0,0,1,1,Industry,10,1,10,0,-2164,0,0,0,0,0,3
264499,0,Revolving loans,F,N,Y,0,112500,337500,16875,337500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010147,-12455,-143,-6238,-4184,1,1,0,1,0,0,Managers,1,2,2,SUNDAY,12,0,0,0,0,0,0,Business Entity Type 3,1,0,1,0,-447,0,0,0,0,0,0
